1.60E+15,8192,-9.09E-12,128,0,0,0,32831,16428,32705,32768,32765,32764,1,4,4,,0.2,32831,16428,32705,32768,32765,32764,0.003845215,-0.997314453,-0.003845215,0,-0.182926829,-0.243902439,,0.037721558,-9.783654785,-0.037721558,0,-0.003191057,-0.004254743
1.60E+15,8192,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,0.4,32762,16457,32635,32758,32765,32767,-0.000366211,-0.995544434,-0.008117676,-0.609756098,-0.182926829,-0.06097561,,-0.003592529,-9.766290894,-0.079634399,-0.010636856,-0.003191057,-0.001063686
1.60E+15,429,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,0.6,32746,16389,32700,32764,32765,32766,-0.001342773,-0.999694824,-0.004150391,-0.243902439,-0.182926829,-0.12195122,,-0.013172607,-9.807006226,-0.040715332,-0.004254743,-0.003191057,-0.002127371
1.60E+15,425,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,0.8,32779,16486,32716,32763,32765,32766,0.000671387,-0.993774414,-0.003173828,-0.304878049,-0.182926829,-0.12195122,,0.006586304,-9.748927002,-0.031135254,-0.005318428,-0.003191057,-0.002127371
1.60E+15,418,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,1,32774,16411,32727,32763,32765,32767,0.000366211,-0.998352051,-0.002502441,-0.304878049,-0.182926829,-0.06097561,,0.003592529,-9.793833618,-0.02454895,-0.005318428,-0.003191057,-0.001063686
1.60E+15,416,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,1.2,32779,16436,32721,32768,32764,32766,0.000671387,-0.996826172,-0.002868652,0,-0.243902439,-0.12195122,,0.006586304,-9.778864746,-0.028141479,0,-0.004254743,-0.002127371
1.60E+15,411,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,1.4,32790,16493,32613,32764,32766,32766,0.001342773,-0.993347168,-0.009460449,-0.243902439,-0.12195122,-0.12195122,,0.013172607,-9.744735718,-0.092807007,-0.004254743,-0.002127371,-0.002127371
1.60E+15,2957,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,1.6,32795,16406,32718,32764,32764,32765,0.001647949,-0.998657227,-0.003051758,-0.243902439,-0.243902439,-0.182926829,,0.016166382,-9.796827393,-0.029937744,-0.004254743,-0.004254743,-0.003191057
1.60E+15,2755,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,1.8,32767,16461,32680,32765,32764,32767,-6.10E-05,-0.995300293,-0.005371094,-0.182926829,-0.243902439,-0.06097561,,-0.000598755,-9.763895874,-0.05269043,-0.003191057,-0.004254743,-0.001063686
1.60E+15,2344,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,2,32786,16433,32705,32762,32764,32767,0.001098633,-0.997009277,-0.003845215,-0.365853659,-0.243902439,-0.06097561,,0.010777588,-9.780661011,-0.037721558,-0.006382114,-0.004254743,-0.001063686
1.60E+15,2382,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,2.2,32758,16383,32707,32765,32765,32766,-0.000610352,-1.000061035,-0.003723145,-0.182926829,-0.182926829,-0.12195122,,-0.005987549,-9.810598755,-0.036524048,-0.003191057,-0.003191057,-0.002127371
1.60E+15,2798,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,2.4,32759,16462,32744,32768,32765,32766,-0.000549316,-0.995239258,-0.001464844,0,-0.182926829,-0.12195122,,-0.005388794,-9.763297119,-0.014370117,0,-0.003191057,-0.002127371
1.60E+15,2987,-9.09E-12,128,0,0,0,32782,16577,32684,32759,32766,32765,1,4,4,,2.6,32821,16459,32753,32760,32766,32767,0.003234863,-0.995422363,-0.000915527,-0.487804878,-0.12195122,-0.06097561,,0.031734009,-9.765093384,-0.008981323,-0.008509485,-0.002127371,-0.001063686
1.60E+15,2792,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,2.8,32758,16413,32685,32764,32764,32769,-0.000610352,-0.99822998,-0.005065918,-0.243902439,-0.243902439,0.06097561,,-0.005987549,-9.792636108,-0.049696655,-0.004254743,-0.004254743,0.001063686
1.60E+15,2643,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,3,32784,16405,32697,32765,32764,32765,0.000976563,-0.998718262,-0.004333496,-0.182926829,-0.243902439,-0.182926829,,0.009580078,-9.797426147,-0.042511597,-0.003191057,-0.004254743,-0.003191057
1.60E+15,2790,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,3.2,32791,16485,32680,32761,32765,32767,0.001403809,-0.993835449,-0.005371094,-0.426829268,-0.182926829,-0.06097561,,0.013771362,-9.749525757,-0.05269043,-0.007445799,-0.003191057,-0.001063686
1.60E+15,3037,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,3.4,32791,16333,32713,32768,32764,32767,0.001403809,-1.003112793,-0.003356934,0,-0.243902439,-0.06097561,,0.013771362,-9.840536499,-0.032931519,0,-0.004254743,-0.001063686
1.60E+15,3100,-9.09E-12,128,0,0,0,0,0,0,0,0,0,1,4,4,,3.6,32792,16548,32663,32760,32766,32766,0.001464844,-0.989990234,-0.006408691,-0.487804878,-0.12195122,-0.12195122,,0.014370117,-9.711804199,-0.062869263,-0.008509485,-0.002127371,-0.002127371
